,,AAPL,AMZN,META,NVDA,TSLA
sd_open30,25%,0.39481058542542247,0.35985830498764415,0.32113212983143885,0.35800305707679275,0.3140862114447748
sd_open30,50%,0.43055113589839045,0.4130833305691225,0.3982386415929383,0.4414381519123493,0.34231589201195123
sd_open30,75%,0.4658924270592558,0.46295786667268846,0.47728327622733546,0.5055048561421256,0.3702106013233008
sd_open30,max,0.6084593773620585,0.6739623169013179,0.8824419870482554,0.9997694575198882,0.5320548970853862
n_open30,count,547.0,548.0,548.0,540.0,544.0
n_open30,mean,86.78793418647166,38.98540145985402,24.05109489051095,25.433333333333334,196.34742647058823
n_open30,std,60.74083841386373,28.396059000307698,52.529413182102665,32.910645316358455,144.72091218723014
n_open30,min,1.0,3.0,1.0,1.0,32.0
n_open30,25%,48.0,24.0,8.0,7.0,105.0
n_open30,50%,73.0,33.0,12.0,14.0,152.5
n_open30,75%,106.5,46.25,23.0,33.0,244.25
n_open30,max,505.0,279.0,982.0,366.0,999.0
mu_mkt,count,548.0,548.0,548.0,548.0,544.0
mu_mkt,mean,0.07835272169848632,0.07132964379971371,0.07718058314827617,0.11864097978091005,0.03179199411444667
mu_mkt,std,0.03163475459799549,0.038682076100890014,0.05600580845308897,0.07344016009969698,0.022675893421537596
mu_mkt,min,-0.0025930925939563,-0.0847957113956588,-0.0807131764734742,-0.0884611950234221,-0.0400526390735116
mu_mkt,25%,0.056976129766242174,0.043518204356882646,0.04076909634299083,0.07656336090240197,0.018596032548324124
mu_mkt,50%,0.08000327419241521,0.07033386802973415,0.0742554202689676,0.11159784463603355,0.0332488960221665
mu_mkt,75%,0.10025520254056089,0.0992453794413802,0.10648886258651233,0.15443034069429495,0.0463178057683715
mu_mkt,max,0.1554206350618401,0.237312948762034,0.2656131962595491,0.9999997580014728,0.1216666622065703
sd_mkt,count,548.0,548.0,548.0,546.0,544.0
sd_mkt,mean,0.4360949470208422,0.41971161323150435,0.4129845241523844,0.45788234223553936,0.35113154477123015
sd_mkt,std,0.026939416057983993,0.03261351575168049,0.04519440611265677,0.05245368474114743,0.026190036857139533
sd_mkt,min,0.3169120202696319,0.3130449022002364,0.2520869445894392,0.0009013748764797,0.2838093469973313
sd_mkt,25%,0.4165225338685006,0.39706998368748603,0.38247993423626164,0.42681815982942894,0.33259298182852115
sd_mkt,50%,0.4353630779275045,0.4202614054957788,0.4097172402893269,0.4567799458223798,0.3512200195469156
sd_mkt,75%,0.4533055354908639,0.4407336532113232,0.444039170844695,0.49096825009882383,0.3689855111070152
sd_mkt,max,0.5276121803832932,0.523429281213497,0.5776799543910359,0.601324004401786,0.4387121794888325
n_mkt,count,548.0,548.0,548.0,548.0,544.0
