Date,Ticker,Volume,StockChange,Target,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2025-04-21,TSLA,97768000,-0.0119864265294855,1,0.0409103346324222,0.0,0.5,0.5,2,-0.4999,0.0001,0.5
2025-04-22,TSLA,120858500,0.0303515513641308,1,0.0560269605406115,0.1551,0.8388,0.0061,3,-0.6837,0.1561,0.9939
2025-04-23,TSLA,150381900,-0.0161657188547466,1,0.058934393373928,0.0,0.0,1.0,1,-0.0,0.0749,0.0
2025-04-28,TSLA,151731800,-0.0107274066913309,1,0.0776523325860409,1.0,0.0,0.0,1,1.0,1.0,1.0
2025-05-02,TSLA,114454700,0.0081080997124663,-1,0.0525447579551103,0.476,0.0015,0.5225,1,0.4746,0.9969,0.4775
2025-05-09,TSLA,132387800,0.0277385980757762,1,0.0587161333056981,0.0,0.0269,0.973,1,-0.0269,0.0009,0.027
2025-05-13,TSLA,136992600,0.0439687728881835,1,0.0649687767028808,0.0005,0.0012,0.9983,1,-0.0007,0.29,0.0017
2025-05-14,TSLA,136997300,0.0151240662066605,-1,0.037956204379562,0.0063,0.738,0.2556,1,-0.7317,0.0085,0.7444
2025-05-15,TSLA,97882600,0.0072868631750996,1,0.0335547204284404,0.0,0.0004,0.9996,1,-0.0003,0.1106,0.0004
2025-05-19,TSLA,88869900,0.0172167967739751,1,0.0286351627486257,0.0013,0.2445,0.7543,3,-0.2432,0.0052,0.2457
2025-05-20,TSLA,131715500,-0.0116422452347591,-1,0.0384051097797667,0.0007,0.0029,0.9964,1,-0.0022,0.189,0.0036
2025-05-21,TSLA,102354800,-0.0284818330784221,1,0.0439856987447239,0.3869,0.1038,0.5093,2,0.283,0.7884,0.4907
2025-05-23,TSLA,84654800,0.0042021272896875,1,0.0295040270612301,0.3684,0.0037,0.6279,1,0.3648,0.9902,0.3721
2025-05-27,TSLA,120146400,0.0447387599592864,-1,0.047416153537636,0.0,0.0002,0.9997,1,-0.0002,0.1407,0.0003
2025-05-28,TSLA,91404300,-0.0217629714973814,1,0.0249150214590838,1.0,0.0,0.0,1,1.0,1.0,1.0
2025-05-29,TSLA,88087800,-0.0187796427733309,-1,0.0320566979144136,0.3903,0.0001,0.6095,2,0.3902,0.9996,0.3905
2025-05-30,TSLA,123474900,-0.0254837923001998,-1,0.051727004666824,0.5007,0.499,0.0003,2,0.0017,0.5009,0.9997
2025-06-03,TSLA,99324500,-0.0067224958130781,-1,0.0356606610903263,0.0,0.0332,0.9668,4,-0.0332,0.0006,0.0332
2025-06-04,TSLA,98912100,-0.037815178440282,-1,0.052941232130172,0.0,0.0094,0.9905,4,-0.0094,0.0043,0.0095
2025-06-05,TSLA,287499800,-0.117181863535917,1,0.1591987283096086,0.2063,0.2023,0.5914,5,0.004,0.5049,0.4086
2025-06-06,TSLA,164747700,-0.0123480644166738,1,0.0480540307091632,0.295,0.4421,0.2629,5,-0.1471,0.4002,0.7371
2025-06-09,TSLA,140908900,0.079101957592347,1,0.0978457871899377,0.2508,0.2504,0.4989,4,0.0004,0.5004,0.5011
2025-06-10,TSLA,151256500,0.0354035492793863,1,0.0544864831761847,0.4999,0.0024,0.4976,2,0.4975,0.9952,0.5024
2025-06-11,TSLA,122611400,-0.0238337361428609,-1,0.0388755987956872,0.1435,0.2686,0.5879,7,-0.125,0.3483,0.4121
2025-06-13,TSLA,128964300,0.0361180886511487,1,0.0627130055892355,0.5001,0.0019,0.498,2,0.4981,0.9962,0.502
2025-06-16,TSLA,83925900,-0.0065199782860837,-1,0.0170243109824865,1.0,0.0,0.0,1,1.0,1.0,1.0
2025-06-18,TSLA,95137700,0.0149380425162926,1,0.0437111822000701,0.0,0.9971,0.0029,2,-0.9971,0.0,0.9971
2025-06-20,TSLA,108688000,-0.0176551557536357,1,0.0444579540465497,0.0,0.0055,0.9944,1,-0.0055,0.004,0.0056
2025-06-23,TSLA,190716800,0.0645416852273179,-1,0.0917750405275178,0.0135,0.0002,0.9863,4,0.0133,0.9834,0.0137
2025-06-24,TSLA,114736200,-0.0440801067331198,-1,0.0444170107751886,0.0005,0.465,0.5345,4,-0.4645,0.0011,0.4655
2025-06-25,TSLA,119845100,-0.0442078315565104,-1,0.0659469077866929,0.1543,0.5003,0.3454,2,-0.346,0.2357,0.6546
2025-06-27,TSLA,89067000,-0.0027117958039201,-1,0.0364857661754162,0.0377,0.0157,0.9466,1,0.022,0.7059,0.0534
2025-07-01,TSLA,145085700,0.007538698868919,1,0.0424848340025094,0.1603,0.3676,0.4721,5,-0.2073,0.3036,0.5279
2025-07-02,TSLA,119483700,0.0096599461552127,-1,0.0416146212610769,0.0281,0.9601,0.0117,4,-0.932,0.0285,0.9883
2025-07-03,TSLA,58042300,-0.0083020982167192,-1,0.0178936526813703,0.0,1.0,0.0,1,-1.0,0.0,1.0
2025-07-07,TSLA,131177900,0.0088204254634562,1,0.0253286371503157,0.0,0.6692,0.3307,4,-0.6692,0.0,0.6693
2025-07-08,TSLA,103246700,0.0027272645070496,-1,0.0326598710082596,0.0,0.9998,0.0001,1,-0.9998,0.0,0.9999
2025-07-09,TSLA,75586800,-0.0056124448955387,1,0.0221811674484349,0.0043,0.4668,0.5289,2,-0.4624,0.0092,0.4711
2025-07-10,TSLA,104365300,0.0327279044283596,1,0.0349275501172798,0.5,0.0066,0.4934,2,0.4935,0.9871,0.5066
2025-07-11,TSLA,79236400,0.0182532555451811,1,0.027412394166285,0.0,0.0003,0.9997,1,-0.0003,0.0165,0.0003
2025-07-14,TSLA,78043400,-0.0026123345643904,-1,0.031252926486093,0.6669,0.0002,0.3329,3,0.6667,0.9998,0.6671
2025-07-15,TSLA,77556300,-0.0278403218856136,1,0.0334710099229862,0.0001,0.3332,0.6666,3,-0.3331,0.0004,0.3334
2025-07-17,TSLA,73922900,-0.0115735426427798,1,0.0225282343085203,0.0043,0.1924,0.8032,2,-0.1881,0.022,0.1968
2025-07-22,TSLA,77370400,0.0071874664504688,1,0.0420331663723562,0.3356,0.0,0.6644,3,0.3356,0.9999,0.3356
2025-07-23,TSLA,92553800,0.0050166324954018,-1,0.022756116404319,0.0,1.0,0.0,1,-1.0,0.0,1.0
2025-07-24,TSLA,156966000,-0.0151613297001008,1,0.0314193233366935,0.0,0.5014,0.4986,4,-0.5013,0.0,0.5014
2025-07-25,TSLA,148227000,0.0237092944087414,1,0.0505927175333841,0.0,0.0008,0.9992,3,-0.0008,0.0277,0.0008
2025-07-28,TSLA,112673800,0.0224210515219497,-1,0.0464750737184678,0.0,0.0001,0.9999,2,-0.0001,0.0335,0.0001
2025-07-30,TSLA,83931900,-0.009746055628039,-1,0.0398225134443868,0.5,0.0001,0.4999,2,0.4999,0.9998,0.5001
2025-07-31,TSLA,85270900,-0.0354807323226054,-1,0.0477769460077265,0.0,0.0017,0.9983,1,-0.0017,0.0027,0.0017
2025-08-04,TSLA,78683900,0.0005824485608267,-1,0.0295069092577922,0.0,0.0001,0.9999,2,-0.0,0.3642,0.0001
2025-08-06,TSLA,78523600,0.0390398793133867,1,0.0439767706022634,0.3319,0.3305,0.3376,3,0.0014,0.5011,0.6624
2025-08-07,TSLA,66658700,0.0077550279948838,1,0.0195127742194561,0.5786,0.0781,0.3433,4,0.5006,0.8811,0.6567
2025-08-08,TSLA,91200300,0.025573224055026,1,0.0440841963508028,0.0001,0.4676,0.5322,2,-0.4675,0.0003,0.4678
2025-08-11,TSLA,105320200,0.0120298471023787,1,0.0372836440356809,0.6613,0.0079,0.3308,3,0.6534,0.9882,0.6692
2025-08-12,TSLA,80522100,-0.0120579816293025,-1,0.0357101661571558,0.0,0.0,1.0,1,-0.0,0.0894,0.0
2025-08-13,TSLA,67838900,-0.0062078919976207,-1,0.0315666142878385,0.0001,0.0001,0.9998,3,-0.0001,0.3886,0.0002
2025-08-14,TSLA,75000700,-0.0005361662738961,-1,0.0299916816515702,0.0001,0.0004,0.9995,1,-0.0003,0.2121,0.0005
2025-08-15,TSLA,74319800,-0.0210270864968078,1,0.036367940076152,1.0,0.0,0.0,1,1.0,1.0,1.0
2025-08-18,TSLA,56956600,0.0168072587433668,-1,0.0202657386527973,0.0015,0.0103,0.9882,1,-0.0088,0.1278,0.0118
2025-08-19,TSLA,75956000,-0.0192978076221146,-1,0.0378212018412517,0.0001,0.0,0.9999,2,0.0001,0.9458,0.0001
2025-08-20,TSLA,77481800,-0.0161594292706788,-1,0.0509385485434998,0.0381,0.4413,0.5206,1,-0.4032,0.0794,0.4794
2025-08-21,TSLA,55744400,-0.0061164968418834,1,0.0193119767760159,0.0,0.3337,0.6663,3,-0.3337,0.0001,0.3337
2025-08-22,TSLA,94016300,0.0570478327880377,1,0.0639184148620205,0.4983,0.1831,0.3186,38,0.3151,0.7312,0.6814
2025-08-25,TSLA,86670000,0.0227206029675621,1,0.0427854832137558,0.3421,0.3137,0.3441,42,0.0284,0.5217,0.6559
2025-08-26,TSLA,76651600,0.0195402571393333,-1,0.0237149359275059,0.3542,0.2866,0.3593,37,0.0676,0.5527,0.6407
2025-08-27,TSLA,65519000,-0.0066488501496223,-1,0.0177019120961259,0.3186,0.1942,0.4873,30,0.1244,0.6213,0.5127
2025-08-28,TSLA,67903200,-0.014049165382382,-1,0.0378728958668862,0.2511,0.3912,0.3577,36,-0.1401,0.391,0.6423
2025-08-29,TSLA,81145700,-0.03847598262371,-1,0.0491028633859648,0.2815,0.4095,0.309,43,-0.128,0.4073,0.691
2025-09-04,TSLA,60711000,0.0070801871962711,1,0.0220437417719877,0.5,0.0002,0.4998,2,0.4999,0.9997,0.5002
2025-09-05,TSLA,108989800,0.008160909016927,-1,0.0321551794293283,0.0003,0.0,0.9997,1,0.0002,0.9072,0.0003
2025-09-08,TSLA,75208300,-0.0232348872422691,1,0.0383487636526228,0.0053,0.5009,0.4938,4,-0.4956,0.0104,0.5062
2025-09-09,TSLA,53816000,-0.0042188072850513,1,0.0199459925403422,0.0011,0.1877,0.8112,3,-0.1867,0.0056,0.1888
2025-09-10,TSLA,72121700,-0.0078732829672123,1,0.0292682345038514,0.0,0.0007,0.9993,2,-0.0007,0.0045,0.0007
2025-09-11,TSLA,103756000,0.0532312403006665,1,0.0610845683828769,0.0238,0.0032,0.973,1,0.0206,0.8802,0.027
2025-09-12,TSLA,168156400,0.0673963439786977,1,0.0713053648378334,0.4989,0.0035,0.4975,5,0.4954,0.993,0.5025
2025-09-15,TSLA,163823700,-0.0309361099114584,1,0.0549949643436293,0.3334,0.0001,0.6666,6,0.3333,0.9998,0.3334
2025-09-16,TSLA,104285700,0.0171773102947828,1,0.0285163023503466,0.5,0.0001,0.4999,2,0.4999,0.9999,0.5001
2025-09-17,TSLA,106133500,0.0243174632629284,-1,0.0448345980297279,0.0,0.0001,0.9999,2,-0.0001,0.0871,0.0001
2025-09-18,TSLA,90454500,-0.0280271157938839,1,0.0365145704768418,0.4954,0.2501,0.2545,4,0.2453,0.6645,0.7455
2025-09-19,TSLA,93131000,0.0100753874311451,1,0.0183727653156176,0.0165,0.5,0.4835,2,-0.4836,0.0319,0.5165
2025-09-22,TSLA,97108800,0.0071907545843263,-1,0.0367655740810323,0.6569,0.0,0.3431,3,0.6568,1.0,0.6569
2025-09-23,TSLA,83422700,-0.0318950591605876,1,0.0392152400848398,0.3291,0.0244,0.6466,14,0.3047,0.9311,0.3534
2025-09-24,TSLA,93133600,0.0301515072878176,-1,0.0353162718981894,0.4961,0.1826,0.3213,33,0.3135,0.731,0.6787
2025-09-25,TSLA,96746400,-0.0272263023890712,1,0.0373817201918616,0.2688,0.3782,0.353,56,-0.1094,0.4154,0.647
2025-09-26,TSLA,101628200,0.0282512408320789,1,0.0454121241218269,0.6244,0.131,0.2446,50,0.4934,0.8266,0.7554
2025-09-29,TSLA,79491500,-0.0025655781090997,1,0.0258355144112538,0.5096,0.1864,0.304,39,0.3231,0.7321,0.696
2025-09-30,TSLA,74358000,0.0072477176269637,1,0.0269070601069539,0.5031,0.2034,0.2935,27,0.2998,0.7121,0.7065
2025-10-01,TSLA,98122300,0.0352861741614439,-1,0.0485353968846214,0.8444,0.0629,0.0927,2,0.7814,0.9306,0.9073
2025-10-02,TSLA,137009000,-0.0734050408417595,-1,0.0747651465059694,0.6584,0.3309,0.0106,3,0.3275,0.6655,0.9894
2025-10-03,TSLA,133188200,-0.0303639191346498,1,0.0681044053767498,0.0023,0.3325,0.6652,3,-0.3302,0.0068,0.3348
2025-10-09,TSLA,69339900,0.008638083896661,-1,0.0235520564258225,0.665,0.0017,0.3333,3,0.6633,0.9974,0.6667
2025-10-10,TSLA,112107900,-0.0528016169408557,1,0.0725706511560696,0.0002,0.0001,0.9997,3,0.0001,0.7118,0.0003
2025-10-13,TSLA,79552800,0.0292068924346337,-1,0.0405874495099554,1.0,0.0,0.0,3,1.0,1.0,1.0
2025-10-14,TSLA,72669400,0.0057404851107128,1,0.0382858701664027,0.0107,0.0053,0.9841,2,0.0054,0.6697,0.0159
2025-10-15,TSLA,71558200,0.0005748447999737,-1,0.0326052503848379,0.345,0.0587,0.5963,5,0.2863,0.8546,0.4037
2025-10-16,TSLA,77189900,-0.0137556893593807,1,0.0414970397465594,0.6666,0.3333,0.0,3,0.3333,0.6667,1.0
2025-10-17,TSLA,89331600,0.0324559284573296,1,0.0419741136346944,0.1841,0.2478,0.5681,4,-0.0637,0.4263,0.4319
2025-10-20,TSLA,63719000,0.0080203609114282,-1,0.0207042659844129,0.0002,0.0006,0.9993,1,-0.0004,0.2087,0.0007
2025-10-22,TSLA,84023500,-0.010102629074315,1,0.0372984735361782,0.3337,0.333,0.3334,3,0.0007,0.5005,0.6666
2025-10-24,TSLA,94727800,-0.0293399855549807,1,0.0481390683133306,0.3611,0.1848,0.4541,16,0.1763,0.6615,0.5459
2025-10-27,TSLA,105867500,0.0282740172980104,1,0.048797674177453,0.4126,0.1732,0.4142,70,0.2394,0.7044,0.5858
2025-10-28,TSLA,80185700,0.012687429150709,1,0.0338625136061842,0.3732,0.1282,0.4986,34,0.245,0.7443,0.5014
2025-10-29,TSLA,67983500,-0.0021405194256756,-1,0.0282162558065879,0.4189,0.2387,0.3424,42,0.1803,0.6371,0.6576
2025-10-30,TSLA,72447900,-0.0242766477902647,1,0.0342534367036116,0.2334,0.3037,0.463,48,-0.0703,0.4345,0.537
2025-10-31,TSLA,83135800,0.0219585843505176,1,0.0320313319722298,0.4785,0.1667,0.3549,21,0.3118,0.7417,0.6451
2025-11-03,TSLA,84595200,0.0271497294851785,-1,0.0444527730111605,0.4811,0.0,0.5189,4,0.4811,1.0,0.4811
2025-11-04,TSLA,87756600,-0.0224441796444943,1,0.0365708652679722,0.5,0.0007,0.4993,2,0.4993,0.9987,0.5007
2025-11-07,TSLA,103471500,-0.0191816408396431,1,0.0399159205625904,0.0004,0.9784,0.0212,1,-0.978,0.0004,0.9788
2025-11-10,TSLA,76515900,0.0128071082908191,-1,0.0371019741804353,0.0,0.3334,0.6666,3,-0.3334,0.0,0.3334
2025-11-11,TSLA,60533200,0.0005006855342718,-1,0.0230541762028311,0.4374,0.0008,0.5618,3,0.4366,0.9982,0.4382
2025-11-12,TSLA,58513500,-0.0261223294185384,-1,0.0356666046169027,0.0002,0.0676,0.9322,1,-0.0673,0.0036,0.0678
2025-11-13,TSLA,118948000,-0.0499610389348122,1,0.0665516586797204,0.0013,0.2323,0.7664,1,-0.231,0.0054,0.2336
2025-11-14,TSLA,105506700,0.0467253918739973,1,0.0761325513628316,0.5613,0.2335,0.2052,5,0.3278,0.7062,0.7948
2025-11-17,TSLA,102214300,0.0255304796174962,-1,0.0632492397009868,0.0187,0.2793,0.702,3,-0.2606,0.0628,0.298
2025-11-19,TSLA,72047700,-0.0053917043697283,-1,0.0326948619300832,0.9965,0.0,0.0035,2,0.9965,1.0,0.9965
2025-11-20,TSLA,113548800,-0.0467886879097604,-1,0.0824832062423878,0.3297,0.0,0.6703,3,0.3297,0.9999,0.3297
2025-11-21,TSLA,100460600,-0.0279131307960982,1,0.0473254565537925,0.168,0.5673,0.2647,10,-0.3993,0.2285,0.7353
2025-11-24,TSLA,96806400,0.0388143939885449,1,0.0512967257478521,0.4497,0.1695,0.3808,64,0.2802,0.7262,0.6192
2025-11-25,TSLA,71915600,0.0120167470377692,1,0.0350610450955707,0.4843,0.2497,0.266,56,0.2347,0.6598,0.734
