Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2026-03-16,META,0.385,0.0935,0.5215,5,0.2916,0.8047,0.4785
2026-03-16,MSFT,0.3255,0.3309,0.3436,3,-0.0054,0.4959,0.6564
2026-03-16,TSLA,0.9606,0.0161,0.0233,1,0.9446,0.9836,0.9767
2026-03-16,UNH,0.8086,0.0012,0.1902,11,0.8075,0.9986,0.8098
2026-03-17,AAPL,0.0069,0.0316,0.9616,2,-0.0247,0.1783,0.0384
2026-03-17,AMZN,0.9661,0.0,0.0339,1,0.966,1.0,0.9661
2026-03-17,BRK-B,0.5,0.0001,0.4999,2,0.4999,0.9998,0.5001
2026-03-17,JPM,0.2454,0.007,0.7476,2,0.2384,0.9723,0.2524
2026-03-17,META,0.5,0.0001,0.4999,2,0.4999,0.9999,0.5001
2026-03-17,MSFT,0.5099,0.0002,0.4899,2,0.5098,0.9997,0.5101
2026-03-17,TSLA,0.2225,0.028,0.7495,3,0.1946,0.8884,0.2505
2026-03-17,UNH,0.3332,0.0097,0.6571,6,0.3235,0.9718,0.3429
2026-03-18,AAPL,0.0005,0.9995,0.0,1,-0.999,0.0005,1.0
2026-03-18,AMZN,0.0,0.0,1.0,3,-0.0,0.051,0.0
2026-03-18,BRK-B,0.5415,0.0001,0.4585,4,0.5414,0.9998,0.5415
2026-03-18,GOOGL,0.0005,0.0479,0.9516,2,-0.0474,0.0099,0.0484
2026-03-18,MSFT,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-03-18,TSLA,0.3344,0.0029,0.6627,3,0.3315,0.9913,0.3373
2026-03-18,UNH,0.0007,0.19,0.8093,6,-0.1892,0.0038,0.1907
2026-03-19,BRK-B,0.4,0.1998,0.4002,5,0.2003,0.667,0.5998
2026-03-19,GOOGL,0.0016,0.5436,0.4548,1,-0.542,0.003,0.5452
2026-03-19,JPM,0.0,0.5,0.5,2,-0.5,0.0,0.5
2026-03-19,META,0.0065,0.0976,0.8959,1,-0.0912,0.0621,0.1041
2026-03-19,MSFT,0.0004,0.5437,0.4559,2,-0.5433,0.0007,0.5441
2026-03-19,TSLA,0.0004,0.4936,0.506,2,-0.4932,0.0008,0.494
2026-03-19,UNH,0.2887,0.262,0.4494,7,0.0267,0.5242,0.5506
2026-03-20,AAPL,0.0009,0.0001,0.999,2,0.0008,0.8738,0.001
2026-03-20,AMZN,0.0,0.0165,0.9835,2,-0.0165,0.0024,0.0165
2026-03-20,BRK-B,0.3986,0.0155,0.5859,5,0.3831,0.9626,0.4141
2026-03-20,GOOGL,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-03-20,JPM,0.0001,0.0001,0.9998,1,0.0001,0.6269,0.0002
2026-03-20,MSFT,0.0014,0.0469,0.9517,2,-0.0455,0.0288,0.0483
2026-03-20,TSLA,0.4371,0.0,0.5628,2,0.4371,0.9999,0.4372
2026-03-20,UNH,0.4088,0.0006,0.5906,5,0.4083,0.9986,0.4094
2026-03-21,AAPL,0.0,0.0002,0.9998,1,-0.0002,0.0229,0.0002
2026-03-21,BRK-B,0.2962,0.0096,0.6942,5,0.2866,0.9686,0.3058
2026-03-21,GOOGL,1.0,0.0,0.0,2,1.0,1.0,1.0
2026-03-21,JPM,0.405,0.2104,0.3846,7,0.1946,0.6581,0.6154
2026-03-21,META,0.3838,0.5158,0.1004,3,-0.132,0.4266,0.8996
2026-03-21,MSFT,0.9985,0.0002,0.0014,1,0.9983,0.9998,0.9986
2026-03-21,TSLA,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-03-22,AAPL,0.0,0.0002,0.9998,1,-0.0002,0.0533,0.0002
2026-03-22,AMZN,0.0,0.0007,0.9993,1,-0.0007,0.0074,0.0007
2026-03-22,JPM,0.1493,0.3922,0.4585,7,-0.2429,0.2757,0.5415
2026-03-22,META,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-03-22,MSFT,0.0,0.0,1.0,1,-0.0,0.0279,0.0
2026-03-23,AAPL,0.0,0.0,1.0,1,0.0,0.6036,0.0
2026-03-23,AMZN,0.5,0.0,0.5,2,0.5,1.0,0.5
2026-03-23,BRK-B,0.3613,0.1005,0.5382,10,0.2608,0.7824,0.4618
2026-03-23,GOOGL,0.0,0.0,1.0,1,-0.0,0.0398,0.0
