lag,strategy,cost_bp,annual_return,sharpe,max_drawdown,win_rate,p_value_mean,mean_daily_pnl,total_turnover,days,positions
3,proportional_ls,10,-0.48124594155866585,-3.1542683302846237,-0.40093180832511865,0.4177215189873418,0.002477570314776912,-0.001909706117296293,270.2902557307099,237,1185
3,proportional_ls,20,-0.7686431755001802,-5.006336274696136,-0.536275611267003,0.34177215189873417,2.190636075133756e-06,-0.0030501713313499214,270.2902557307099,237,1185
3,risk_scaled_ls,5,-0.3417159917811804,-2.208535476318546,-0.3424563247781005,0.4472573839662447,0.03323407449878148,-0.0013560158404015096,271.96575181374334,237,1185
3,risk_scaled_ls,10,-0.4863053788213984,-3.1385247184604244,-0.41510804661040634,0.4177215189873418,0.002601733695289595,-0.0019297832492912634,271.96575181374334,237,1185
3,risk_scaled_ls,20,-0.7754841529018343,-4.980825403519293,-0.5407076061416949,0.31645569620253167,2.453352663806053e-06,-0.0030773180670707707,271.96575181374334,237,1185
4,long_only_055,5,0.08381140293353599,0.5054728800581381,-0.08460626240711766,0.5042372881355932,0.6251825481899971,0.0003325849322759365,236.23333333333335,236,668
4,long_only_055,10,-0.04231317333765047,-0.254915616656825,-0.11351819815583697,0.4872881355932203,0.8053632292034099,-0.0001679094180065495,236.23333333333335,236,668
4,long_only_055,20,-0.29456232588002335,-1.7678747295525146,-0.2779611638374009,0.4406779661016949,0.08843184543369251,-0.0011688981185715211,236.23333333333335,236,668
4,long_only_extreme,5,0.0629969426946172,0.3779987781969835,-0.09137357964748771,0.4872881355932203,0.7148418616944003,0.00024998786783578253,253.03333333333333,236,606
4,long_only_extreme,10,-0.072097125101993,-0.4319570179835672,-0.13780335933782817,0.4661016949152542,0.676314768169598,-0.00028609970278568647,253.03333333333333,236,606
4,long_only_extreme,20,-0.3422852606952133,-2.041312215432612,-0.30410339932051833,0.4152542372881356,0.04938773266940393,-0.0013582748440286241,253.03333333333333,236,606
4,extreme_ls_060,5,0.08961396401377823,0.5351027237066449,-0.10145163195366225,0.5042372881355932,0.6050592980479268,0.0003556109683086438,297.1333333333333,236,937
4,extreme_ls_060,10,-0.06902501903706919,-0.41112256274000514,-0.15939893121095816,0.4703389830508475,0.6910967486331325,-0.00027390880570265553,297.1333333333333,236,937
4,extreme_ls_060,20,-0.3863029851387641,-2.2852554687875766,-0.33744137573152044,0.3813559322033898,0.027963064633103156,-0.0015329483537252543,297.1333333333333,236,937
4,proportional_ls,5,0.07344198374221295,0.4548420442987306,-0.08676369279472318,0.5084745762711864,0.6602215722633378,0.00029143644342147993,269.8343312226456,236,1180
4,proportional_ls,10,-0.07062210835123348,-0.43617777424733345,-0.14720708081899325,0.4788135593220339,0.6733351596985442,-0.00028024646171124394,269.8343312226456,236,1180
4,proportional_ls,20,-0.3587502925381262,-2.199832717962433,-0.321732652615386,0.3813559322033898,0.034307020042316075,-0.0014236122719766913,269.8343312226456,236,1180
4,risk_scaled_ls,5,0.04054546140269952,0.25600196307506684,-0.10994798957307361,0.5169491525423728,0.8045506302860046,0.00016089468810595047,270.50781635319834,236,1180
4,risk_scaled_ls,10,-0.10387820326044875,-0.6547543817125799,-0.16842082097920574,0.461864406779661,0.5269400347951635,-0.00041221509230336803,270.50781635319834,236,1180
4,risk_scaled_ls,20,-0.39272553258674525,-2.4622795454932667,-0.3393743296892756,0.3771186440677966,0.017976147742111946,-0.0015584346531220049,270.50781635319834,236,1180
