Date,Ticker,Target,Volume,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index,Score_Net_Lag1,Score_Net_Lag2,Score_Net_Lag3,Score_Net_Lag5,Volume_Messages_Lag1,Volume_Messages_Lag2,Volume_Messages_Lag3,Volume_Messages_Lag5,Volume_Lag1,Volume_Lag2,Volume_Lag3,Volume_Lag5,Polarite_Index_Lag1,Polarite_Index_Lag2,Polarite_Index_Lag3,Polarite_Index_Lag5,Bullishness_Index_Lag1,Bullishness_Index_Lag2,Bullishness_Index_Lag3,Bullishness_Index_Lag5,Volatility_20d,Volume_Avg20d
2025-05-28,TSLA,0,91404300,0.0249150214590838,1.0,0.0,0.0,1,1.0,1.0,1.0,-0.0002,0.3648,0.283,-0.2432,1.0,1.0,2.0,3.0,120146400.0,84654800.0,102354800.0,88869900.0,0.0003,0.3721,0.4907,0.2457,0.1407,0.9902,0.7884,0.0052,0.034912998953646315,125139375.0
2025-05-28,UNH,1,16114200,0.0357142857142857,0.4794,0.0033,0.5173,2,0.4761,0.9932,0.4827,0.2267,-0.339,1.0,-0.9998,2.0,3.0,1.0,1.0,20144600.0,45506900.0,62524700.0,40029600.0,0.7808,0.3391,1.0,0.9998,0.6452,0.0002,1.0,0.0,0.033163441984242314,24246775.0
2025-05-29,AMZN,0,34650000,0.0220160643076948,0.0,0.0001,0.9999,1,-0.0001,0.1758,0.0001,0.9108,0.9999,1.0,0.0034,1.0,1.0,1.0,1.0,28549800.0,34892000.0,33393500.0,42460900.0,0.9109,0.9999,1.0,0.0056,0.9999,1.0,1.0,0.8042,0.014216244328154808,48137730.0
2025-05-29,BRK-B,1,3656000,0.0106150309244791,0.2307,0.2408,0.5285,4,-0.0101,0.4893,0.4715,-0.3945,0.2499,-0.0,-0.0002,1.0,4.0,2.0,3.0,3166800.0,3244800.0,3815800.0,4997300.0,0.3959,0.25,0.0,0.0002,0.0018,0.9997,0.2127,0.0237,0.00810378746334724,5053775.0
2025-05-29,META,0,8858800,0.0212077139667801,0.0,0.0,1.0,1,-0.0,0.4141,0.0,0.9975,0.7247,-0.0145,0.9521,1.0,1.0,1.0,1.0,8228400.0,18519000.0,14341800.0,21965100.0,0.9975,0.7341,0.0188,0.9528,1.0,0.9936,0.1126,0.9996,0.02707064437520019,18249280.0
2025-05-29,MSFT,0,13974800,0.0138879944353602,0.9989,0.0011,0.0,1,0.9978,0.9989,1.0,0.9975,0.8658,0.5108,0.0011,1.0,1.0,2.0,1.0,18025600.0,23849800.0,19902800.0,23295300.0,0.9975,0.8659,0.5208,0.0014,1.0,0.9999,0.9905,0.8877,0.026390978246436186,25745435.0
2025-05-29,TSLA,0,88087800,0.0320566979144136,0.3903,0.0001,0.6095,2,0.3902,0.9996,0.3905,1.0,-0.0002,0.3648,-0.0022,1.0,1.0,1.0,1.0,91404300.0,120146400.0,84654800.0,131715500.0,1.0,0.0003,0.3721,0.0036,1.0,0.1407,0.9902,0.189,0.03259944648182849,121255595.0
2025-05-29,UNH,1,16221100,0.0282345189604855,0.759,0.1986,0.0424,2,0.5603,0.7926,0.9576,0.4761,0.2267,-0.339,-0.4275,2.0,2.0,3.0,7.0,16114200.0,20144600.0,45506900.0,121849200.0,0.4827,0.7808,0.3391,0.7093,0.9932,0.6452,0.0002,0.1987,0.03330854217818931,24677700.0
2025-05-30,AMZN,1,51679400,0.0209432172506261,0.6468,0.0008,0.3525,2,0.646,0.9988,0.6475,-0.0001,0.9108,0.9999,0.3936,1.0,1.0,1.0,5.0,34650000.0,28549800.0,34892000.0,38938900.0,0.0001,0.9109,0.9999,0.3938,0.1758,0.9999,1.0,0.9998,0.01344037855640466,46455130.0
2025-05-30,BRK-B,0,9153100,0.0109463741415552,0.0003,0.0045,0.9952,2,-0.0041,0.0699,0.0048,-0.0101,-0.3945,0.2499,0.0019,4.0,1.0,4.0,1.0,3656000.0,3166800.0,3244800.0,3441500.0,0.4715,0.3959,0.25,0.002,0.4893,0.0018,0.9997,0.9719,0.007616408623090729,4998150.0
